palabra,cantidad
con,1
nuestro,1
lugar,1
serán,1
seres,1
del,1
humanos,1
profesinal,1
mañana,2
arraigado,1
sentido,1
nuestra,2
adultos,1
casi,1
pensamos,1
nietos,1
cómo,1
desde,1
residencia,1
pequeños,1
vez,1
vamos,2
próxima,1
darnos,1
sobre,2
vidas,1
está,1
nuestras,1
años,1
ilusionamos,1
que,3
reflexionamos,1
hijos,1
nuestros,1
dos,1
momento,1
hacer,2
los,1
nos,2
jubilemos,1
cuenta,1
sin,1
mes,1
más,1
dentro,1
cuando,1
planificamos,1
semana,1
una,1
cada,1
tarde,1
futuro,2
viene,1
carrera,1
familia,1
profundamente,1
